iter	Passed	Remaining
0	11	2257
1	21	2122
2	32	2140
3	43	2137
4	55	2155
5	65	2126
6	76	2098
7	87	2101
8	99	2103
9	112	2132
10	123	2124
11	135	2125
12	147	2123
13	159	2113
14	170	2108
15	183	2106
16	194	2093
17	205	2082
18	217	2068
19	229	2065
20	240	2052
21	251	2038
22	264	2032
23	276	2024
24	287	2013
25	299	2001
26	310	1992
27	321	1977
28	332	1961
29	343	1944
30	354	1931
31	365	1917
32	376	1903
33	387	1891
34	398	1878
35	409	1863
36	419	1849
37	430	1836
38	442	1824
39	452	1811
40	464	1799
41	475	1788
42	485	1773
43	496	1761
44	507	1748
45	518	1735
46	529	1723
47	539	1709
48	550	1697
49	561	1683
50	571	1671
51	582	1658
52	592	1644
53	604	1633
54	614	1619
55	624	1606
56	636	1595
57	646	1583
58	657	1571
59	667	1558
60	680	1549
61	690	1537
62	701	1526
63	714	1518
64	725	1506
65	737	1496
66	748	1486
67	760	1475
68	771	1465
69	783	1455
70	794	1442
71	804	1430
72	815	1419
73	826	1407
74	836	1394
75	847	1382
76	858	1370
77	868	1359
78	879	1347
79	890	1336
80	901	1324
81	912	1312
82	923	1301
83	933	1289
84	944	1277
85	955	1266
86	965	1253
87	976	1243
88	987	1231
89	997	1219
90	1008	1208
91	1019	1196
92	1029	1184
93	1041	1173
94	1051	1162
95	1062	1151
96	1074	1140
97	1085	1129
98	1097	1119
99	1107	1107
100	1118	1096
101	1129	1085
102	1139	1073
103	1149	1061
104	1160	1049
105	1170	1038
106	1181	1026
107	1191	1015
108	1202	1003
109	1213	992
110	1223	981
111	1235	970
112	1245	959
113	1256	947
114	1267	936
115	1278	925
116	1290	915
117	1302	905
118	1315	895
119	1327	884
120	1338	873
121	1350	863
122	1363	853
123	1375	843
124	1389	833
125	1402	823
126	1414	813
127	1427	802
128	1439	792
129	1453	782
130	1465	771
131	1476	760
132	1489	750
133	1501	739
134	1514	729
135	1526	718
136	1538	707
137	1550	696
138	1562	685
139	1574	674
140	1586	663
141	1597	652
142	1610	641
143	1622	630
144	1634	619
145	1646	608
146	1658	597
147	1669	586
148	1681	575
149	1694	564
150	1705	553
151	1716	542
152	1729	531
153	1741	520
154	1753	508
155	1765	498
156	1778	487
157	1790	476
158	1802	464
159	1814	453
160	1826	442
161	1837	431
162	1849	419
163	1860	408
164	1872	397
165	1883	385
166	1894	374
167	1904	362
168	1916	351
169	1927	340
170	1938	328
171	1949	317
172	1961	306
173	1971	294
174	1982	283
175	1992	271
176	2003	260
177	2015	249
178	2026	237
179	2036	226
180	2048	215
181	2059	203
182	2070	192
183	2081	181
184	2093	169
185	2105	158
186	2117	147
187	2129	135
188	2140	124
189	2152	113
190	2163	101
191	2176	90
192	2188	79
193	2200	68
194	2212	56
195	2223	45
196	2234	34
197	2245	22
198	2257	11
199	2268	0
